place name,price,Rooms,interior,location,distance from location,place link
Kozi Suites Nairobi Airport,"KES 4,345",Deluxe Studio,Private studio • 1 bathroom • 23m²1 large double bed,Nairobi,13.2 km from centre,https://www.booking.com/hotel/ke/kozi-suites.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=715168701_345712893_0_0_0&highlighted_blocks=715168701_345712893_0_0_0&matching_block_id=715168701_345712893_0_0_0&sr_pri_blocks=715168701_345712893_0_0_0__3557&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
"Lotos Inn & Suites, Nairobi","KES 9,283",Standard Suite,"Private suite3 beds (2 singles, 1 extra-large double)","Westlands, Nairobi",3.8 km from centre,https://www.booking.com/hotel/ke/lotos-inn-amp-suites.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=163942403_202548816_2_42_0&highlighted_blocks=163942403_202548816_2_42_0&matching_block_id=163942403_202548816_2_42_0&sr_pri_blocks=163942403_202548816_2_42_0__7600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
The Curve by the Park,"KES 12,184",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 70m²1 extra-large double bed,Nairobi,4.6 km from centre,https://www.booking.com/hotel/ke/the-curve-by-the-park-nairobi.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=677288901_344041502_2_42_0&highlighted_blocks=677288901_344041502_2_42_0&matching_block_id=677288901_344041502_2_42_0&sr_pri_blocks=677288901_344041502_2_42_0__9975&from=searchresults#hotelTmpl
Sebuleni Riverside,"KES 4,703",Deluxe Studio,Entire studio • 1 bathroom • 50m²1 double bed,Nairobi,3.9 km from centre,https://www.booking.com/hotel/ke/sebuleni-riverside-by-edmor-suites.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=763452104_353479251_2_2_0&highlighted_blocks=763452104_353479251_2_2_0&matching_block_id=763452104_353479251_2_2_0&sr_pri_blocks=763452104_353479251_2_2_0__3850&from=searchresults#hotelTmpl
Hemak Suites,"KES 3,420",Standard Double Room,1 extra-large double bed,"Nairobi CBD, Nairobi",1.4 km from centre,https://www.booking.com/hotel/ke/hemak-suites-nairobi.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=680732203_355296371_2_41_0&highlighted_blocks=680732203_355296371_2_41_0&matching_block_id=680732203_355296371_2_41_0&sr_pri_blocks=680732203_355296371_2_41_0__2800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel Embassy,"KES 3,206",Budget Double Room,1 double bed,"Nairobi CBD, Nairobi",1.1 km from centre,https://www.booking.com/hotel/ke/embassy-nairobi.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=302350405_353327406_2_2_0&highlighted_blocks=302350405_353327406_2_2_0&matching_block_id=302350405_353327406_2_2_0&sr_pri_blocks=302350405_353327406_2_2_0__2625&from=searchresults#hotelTmpl
Kahama Hotel Nairobi,"KES 2,443",Budget Double Room,1 single bed,Nairobi,1.7 km from centre,https://www.booking.com/hotel/ke/kahama-nairobi.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=72304215_270811063_0_0_0&highlighted_blocks=72304215_270811063_0_0_0&matching_block_id=72304215_270811063_0_0_0&sr_pri_blocks=72304215_270811063_0_0_0__2000&from=searchresults#hotelTmpl
Four Points by Sheraton Nairobi Airport,"KES 26,262","Traditional King, Guest room, 1 King",1 extra-large double bed,Nairobi,12 km from centre,https://www.booking.com/hotel/ke/four-points-by-sheraton-nairobi-airport.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=280951311_274565623_0_42_0&highlighted_blocks=280951311_274565623_0_42_0&matching_block_id=280951311_274565623_0_42_0&sr_pri_blocks=280951311_274565623_0_42_0__21500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Swiss Lenana Mount Hotel,"KES 9,889",Superior King Room,1 large double bed,"Kilimani, Nairobi",1.8 km from centre,https://www.booking.com/hotel/ke/swiss-international-lenana-nairobi.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=201403701_112982426_2_2_0&highlighted_blocks=201403701_112982426_2_2_0&matching_block_id=201403701_112982426_2_2_0&sr_pri_blocks=201403701_112982426_2_2_0__8096&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
"Crowne Plaza Nairobi Airport, an IHG Hotel","KES 19,419",Standard King Room - Accessible,1 extra-large double bed,Nairobi,11.6 km from centre,https://www.booking.com/hotel/ke/the-lazizi-premiere-nairobi.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=213638724_96461544_2_42_0&highlighted_blocks=213638724_96461544_2_42_0&matching_block_id=213638724_96461544_2_42_0&sr_pri_blocks=213638724_96461544_2_42_0__15898&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Raya Hotel,"KES 4,153",Double Room,1 double bed,"Nairobi CBD, Nairobi",1.4 km from centre,https://www.booking.com/hotel/ke/raya.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=815649202_344013850_0_2_0&highlighted_blocks=815649202_344013850_0_2_0&matching_block_id=815649202_344013850_0_2_0&sr_pri_blocks=815649202_344013850_0_2_0__3400&from=searchresults#hotelTmpl
Top comfort jkia,"KES 2,199",Double Room with Private Bathroom,1 double bed,Nairobi,15.4 km from centre,https://www.booking.com/hotel/ke/top-comfort-jkia.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=823849501_346694375_2_2_0&highlighted_blocks=823849501_346694375_2_2_0&matching_block_id=823849501_346694375_2_2_0&sr_pri_blocks=823849501_346694375_2_2_0__1800&from=searchresults#hotelTmpl
254 Ole Sereni-Nairobi Park View,"KES 18,689",Cozy Room,Multiple bed types,Nairobi,4.7 km from centre,https://www.booking.com/hotel/ke/ole-sereni.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=30687201_362167191_2_41_0&highlighted_blocks=30687201_362167191_2_41_0&matching_block_id=30687201_362167191_2_41_0&sr_pri_blocks=30687201_362167191_2_41_0__15300&from=searchresults#hotelTmpl
Taarifa Suites by Dunhill Serviced Apartments,"KES 6,596",Studio Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 73m²1 large double bed,"Westlands, Nairobi",2.5 km from centre,https://www.booking.com/hotel/ke/taarifa-suites.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=239900807_354825049_0_0_0&highlighted_blocks=239900807_354825049_0_0_0&matching_block_id=239900807_354825049_0_0_0&sr_pri_blocks=239900807_354825049_0_0_0__5400&from=searchresults#hotelTmpl
After 40 Hotel,"KES 6,046",Double Room,1 large double bed,"Nairobi CBD, Nairobi",1.1 km from centre,https://www.booking.com/hotel/ke/after-40.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaHaIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsGR9JsGwAIB0gIkZWMxYzYxNjUtYjBlNy00MDllLWFhNzgtMWNmYjlhOGUwNDE32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2258072&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=a2a061888ad4014e&srepoch=1669211538&all_sr_blocks=176785801_127169357_2_42_0&highlighted_blocks=176785801_127169357_2_42_0&matching_block_id=176785801_127169357_2_42_0&sr_pri_blocks=176785801_127169357_2_42_0__4950&from=searchresults#hotelTmpl
